Respondent ID,Question,Option,Questions_clean,Options_clean
aVNoYZ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
kqaM6Z,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Y8PJ1J,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
20Nqpp,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
lJrqZB,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
DgNVNE,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
PVE8K1,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
BMBWKK,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
q0W2ZG,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
OOJrGM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
76MEbZ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
9b4py1,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
YN9JKd,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
yV58kX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
OONXOA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
rzZ6Z5,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
1q8jJO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
V2keLJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
11XjMO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
11kDD4,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
O6Vlp7,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
2MaNR9,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
114Kop,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
E4WzjX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
o4MybM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
rxlAdv,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
o4AB1P,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
80dPlA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
R7LP14,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
80Gdyo,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
4gLv4o,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Q68N6Y,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
vQqkZv,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
OWpMGM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
QgKXKp,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
BMBWKK,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
dL82vz,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
pjJvGE,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
abyRr2,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
EjGa6N,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Ja5vLY,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
OD1DqWa,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
A7P7glo,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
yPZXXV6,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
WO9J5BQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
2E8X249,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ebdeLQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
0Qr72NA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
kdaeaar,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
RGKMGjP,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
rjyajqL,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Zj5EjrB,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
9qG99XE,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
EkzdQpN,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
gDjd4jJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
44XJ1PO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
LZ1752J,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
dWqaR0o,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
2E8aVND,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
q4ZDMyd,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
eqZQjNq,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
vGjeV70,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
vGjeaad,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
VLEQWyj,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
KYQ5jBX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ob6eJa5,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
OD1XRx8,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Bz4xB7R,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ob6GlvM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
D44qDKj,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
abyRr2,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Npp7aaW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ob9d1EP,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
2EjqejD,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
0Qr72NA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
dWbLG6V,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
68DbgLB,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
EkdlLKl,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
yP4xYDW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
0Qr72NA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
kdGgx9d,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
kdNNWAR,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ob2GOaN,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
vGPoA8v,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
9q7zl9X,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
RGPGjAQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
MeRe2GX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
jaPelP4,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
44rQXQA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
VrrMqJ,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
oJJvBx,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
ORRpdp,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
gB2DvO,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
Jy5j77,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
Y2N2z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
Y8PJ1J,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
EyMZXr,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
MoVKx0,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
25QegM,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
BMeBO1,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
rzZ6Z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
V2keLJ,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
plDl9B,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
lPNWlo,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
4gLv4o,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
edopMo,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
pjMOa1,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
Jag0Go,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
jdpxK9,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
NKQWqj,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
44X4WPB,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
RGKWd2v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
2E8X249,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
MeKDKGY,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
rjyajqL,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
b5Vj4B2,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
7RlKXKR,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
eqZrg9l,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
QKK5yEp,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
eq5B1a0,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
ob9Brx1,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
68DbgLB,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
2EaKXNL,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
kdNNWAR,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
jalN119,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
vGPoA8v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
kdEdBK6,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology,Tech Vertical,Edtech Edtech
rXexOX,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
aWWqQW,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
W444AN,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
Vrglva,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
QGL04p,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
7QGV1L,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
ORvjYM,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
GMWQ7p,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
W4yBGj,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
ROEQ6l,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
Y2N2z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
ORWlvg,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
q0W2ZG,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
a7KD8v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
rzZ6Z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
KqzG4D,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
M959El,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
4gLv4o,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
NeByeG,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
Jag0Go,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
yPZXXMB,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
RGKWd2v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology,Tech Vertical,Healthtech Healthtech
