Respondent ID,Question,Option
qy6vNg,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
M0o7q8,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ROEQ6l,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
DLlkll,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ebdeLQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
PoaGD5,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
XjKvqe,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
aVNoYZ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
kqaM6Z,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Y8PJ1J,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
20Nqpp,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
lJrqZB,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
DgNVNE,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
PVE8K1,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
BMBWKK,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
q0W2ZG,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
OOJrGM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
76MEbZ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
9b4py1,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
YN9JKd,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
yV58kX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
OONXOA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
rzZ6Z5,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
1q8jJO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
V2keLJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
11XjMO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
11kDD4,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
O6Vlp7,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
2MaNR9,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
114Kop,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
E4WzjX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
o4MybM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
rxlAdv,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
o4AB1P,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
80dPlA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
R7LP14,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
80Gdyo,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
4gLv4o,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Q68N6Y,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
vQqkZv,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
OWpMGM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
QgKXKp,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
BMBWKK,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
dL82vz,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
pjJvGE,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
abyRr2,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
EjGa6N,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Ja5vLY,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
OD1DqWa,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
A7P7glo,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
yPZXXV6,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
WO9J5BQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
2E8X249,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ebdeLQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
0Qr72NA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
kdaeaar,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
RGKMGjP,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
rjyajqL,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Zj5EjrB,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
9qG99XE,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
EkzdQpN,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
gDjd4jJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
44XJ1PO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
LZ1752J,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
dWqaR0o,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
2E8aVND,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
q4ZDMyd,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
eqZQjNq,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
vGjeV70,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
vGjeaad,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
VLEQWyj,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
KYQ5jBX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ob6eJa5,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
OD1XRx8,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Bz4xB7R,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ob6GlvM,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
D44qDKj,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
abyRr2,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Npp7aaW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ob9d1EP,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
2EjqejD,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
0Qr72NA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
dWbLG6V,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
68DbgLB,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
EkdlLKl,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
yP4xYDW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
0Qr72NA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
kdGgx9d,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
kdNNWAR,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ob2GOaN,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
vGPoA8v,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
9q7zl9X,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
RGPGjAQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
MeRe2GX,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
jaPelP4,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
44rQXQA,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
VrrMqJ,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
oJJvBx,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
ORRpdp,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
gB2DvO,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
Jy5j77,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
Y2N2z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
Y8PJ1J,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
EyMZXr,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
MoVKx0,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
25QegM,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
BMeBO1,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
rzZ6Z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
V2keLJ,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
plDl9B,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
lPNWlo,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
4gLv4o,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
edopMo,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
pjMOa1,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
Jag0Go,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
jdpxK9,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
NKQWqj,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
44X4WPB,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
RGKWd2v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
2E8X249,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
MeKDKGY,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
rjyajqL,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
b5Vj4B2,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
7RlKXKR,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
eqZrg9l,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
QKK5yEp,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
eq5B1a0,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
ob9Brx1,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
68DbgLB,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
2EaKXNL,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
kdNNWAR,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
jalN119,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
vGPoA8v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
kdEdBK6,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Edtech Education Technology
rXexOX,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
aWWqQW,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
W444AN,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
Vrglva,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
QGL04p,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
7QGV1L,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
ORvjYM,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
GMWQ7p,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
W4yBGj,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
ROEQ6l,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
Y2N2z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
ORWlvg,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
q0W2ZG,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
a7KD8v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
rzZ6Z5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
KqzG4D,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
M959El,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
4gLv4o,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
NeByeG,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
Jag0Go,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
yPZXXMB,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
RGKWd2v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
Zj59Wj0,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
vGjrN9v,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
44XJjbk,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
LZ17Yvp,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
44XJ1PO,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
q4ZDMyd,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
vGjeV70,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
yPZ2b7B,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
KYQ5jBX,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
xXxD2B5,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
jaDoNVa,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
GxvzJoL,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
Npp7aaW,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
A77Dr5k,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
Gxe1WBO,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
Vrglva,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
kdNNWAR,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
PdzKQXd,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Healthtech Healthcare Technology
W444AN,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
jKNlLE,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
baPNQo,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
ORWlvg,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
VrkVav,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
bbK141,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
gDjDWLO,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
QK2epLG,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
5BKjYzb,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
xXxYE75,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
Ekk0lxL,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply Agritech Agriculture Technology
aWWqQW,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
GMMG9j,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
GMMNye,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
PoKjaV,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
gB2DvO,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
qy6vNg,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
W4x7pk,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
d755eD,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
1jZYdW,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
OOJrGM,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
MoMxlX,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
MoVKx0,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
OONXOA,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
bbJgQE,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
2MaNR9,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
b0jrX7,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
o4MybM,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
R7LP14,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
R7R6lj,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
vQqkZv,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
80yKvP,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
OWpMGM,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
pjJvGE,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
pjMOa1,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
Jag0Go,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
44X4WPB,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
eqZMdql,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
WO9EAVL,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
44XJNrX,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
b5Vj4B2,Which tech vertical,s are you currently working in or primarily focused on? Select all that apply E-commerce/Retail Tech
